"index","alpha","group"
114,0.341153838494458,"Other"
115,0.352066561986245,"Other"
116,0.364832813558275,"Other"
117,0.279781552308339,"Other"
118,0.133101049715235,"Other"
119,-0.140289445348781,"Other"
120,-0.601471537444407,"Other"
121,-0.596264783329253,"Other"
122,-0.578727929130406,"Other"
123,-0.577311494741726,"Other"
124,-0.550358596954381,"Other"
125,-0.605500751592104,"Other"
126,-0.545532436124177,"Other"
127,-0.523773597756519,"Other"
128,-0.545532436124156,"Other"
129,-0.510847870669939,"Other"
130,-0.511206384173765,"Other"
131,-0.518368003068567,"Other"
132,-0.515278273892591,"Other"
133,0.190428900628861,"Other"
134,0.113235272140974,"Other"
135,0.00475341937443448,"Other"
136,0.046967081025333,"Other"
137,0.339297669807861,"Other"
138,0.257719966724571,"Other"
139,0.177139642728708,"Other"
140,-0.123163289697551,"Other"
141,-0.123163289697539,"Other"
142,0.141981333768584,"Other"
143,0.256641445975586,"Other"
144,-0.0231163566061687,"Other"
145,0.0330577153627162,"Other"
146,0.221309575221033,"Other"
147,0.096055880186112,"Other"
148,0.0822990211741017,"Other"
149,0.240673240754271,"Other"
150,-0.0573202915562311,"Other"
151,-0.127968731905467,"Other"
152,-0.123430783105198,"Other"
153,-0.113252941156524,"Other"
154,-0.262329716847174,"Other"
155,-0.28176419467144,"Other"
156,-0.522441594559006,"Other"
157,-0.461933875305928,"Other"
158,-0.7816648227722,"Top 10"
159,-0.710540535609937,"Other"
160,-0.718641300484479,"Other"
161,-0.605246628629345,"Other"
162,-0.182451712610766,"Other"
163,0.694370229366234,"Other"
164,0.657492048551465,"Other"
165,0.642878988439319,"Other"
166,-0.64632917099419,"Other"
167,0.267441326813391,"Other"
168,0.294189530087747,"Other"
169,0.278489544095649,"Other"
170,0.28015358188895,"Other"
171,0.0650953200059713,"Other"
172,0.20574637464839,"Other"
173,0.0802942132042726,"Other"
174,0.0688656507614916,"Other"
175,0.0645936574157918,"Other"
176,0.189033952543474,"Other"
177,-0.0474140857195166,"Other"
178,0.228976680767379,"Other"
179,0.648676595424388,"Other"
